ACP,2017-3-1,2017-3-31,2017-3-9,0.12,0.12,,,,12
ACP,2017-2-1,2017-2-28,2017-2-9,0.12,0.12,,,,12
ACP,2016-12-20,2017-1-17,2016-12-28,0.12,0.12,,,,12
ACP,2016-12-1,2016-12-16,2016-12-8,0.12,0.12,,,,12
ACP,2016-11-1,2016-11-30,2016-11-8,0.12,0.12,,,,12
ACP,2016-10-3,2016-10-31,2016-10-11,0.12,0.12,,,,12
ACP,2016-9-1,2016-9-30,2016-9-8,0.12,0.12,,,,12
ACP,2016-8-1,2016-8-31,2016-8-9,0.12,0.12,,,,12
ACP,2016-7-1,2016-7-29,2016-7-7,0.12,0.12,,,,13
ACP,2016-6-1,2016-6-30,2016-6-9,0.12,0.12,,,,12
ACP,2016-5-2,2016-5-31,2016-5-10,0.12,0.12,,,,12
ACP,2016-4-1,2016-4-29,2016-4-7,0.12,0.12,,,,12
ACP,2016-3-1,2016-3-31,2016-3-9,0.12,0.12,,,,12
ACP,2016-2-1,2016-2-29,2016-2-9,0.12,0.12,,,,12
ACP,2015-12-21,2016-1-14,2015-12-29,0.12,0.12,,,,12
ACP,2015-12-1,2015-12-16,2015-12-9,0.12,0.12,,,,13
ACP,2015-11-2,2015-11-30,2015-11-10,0.12,0.12,,,,13
ACP,2015-10-1,2015-10-30,2015-10-8,0.12,0.12,,,,14
ACP,2015-9-1,2015-9-30,2015-9-9,0.12,0.12,,,,13
ACP,2015-8-3,2015-8-31,2015-8-11,0.12,0.12,,,,13
ACP,2015-7-1,2015-7-31,2015-7-9,0.12,0.12,,,,13
ACP,2015-6-1,2015-6-30,2015-6-9,0.12,0.12,,,,13
ACP,2015-5-1,2015-5-29,2015-5-7,0.12,0.12,,,,14
ACP,2015-2-2,2015-2-27,2015-2-10,0.12,0.12,,,,14
ACP,2015-2-2,2015-3-31,2015-3-10,0.12,0.12,,,,13
ACP,2015-2-2,2015-4-30,2015-4-9,0.12,0.12,,,,13
ACP,2014-12-19,2015-1-14,2014-12-29,0.12,0.12,,,,13
ACP,2014-12-19,2015-1-14,2014-12-29,0.4042,0.146,0.1702,,S,13
ACP,2014-12-1,2014-12-16,2014-12-9,0.12,0.12,,,,13
ACP,2014-11-3,2014-11-28,2014-11-13,0.12,0.12,,,,14
ACP,2014-8-1,2014-8-29,2014-8-7,0.12,0.12,,,,14
ACP,2014-8-1,2014-9-30,2014-9-10,0.12,0.12,,,,13
ACP,2014-8-1,2014-10-31,2014-10-9,0.12,0.12,,,,13
ACP,2014-5-1,2014-5-30,2014-5-8,0.12,0.12,,,,14
ACP,2014-5-1,2014-6-30,2014-6-10,0.12,0.12,,,,13
ACP,2014-5-1,2014-7-31,2014-7-9,0.12,0.12,,,,13
ACP,2014-2-3,2014-2-28,2014-2-11,0.12,0.12,,,,13
ACP,2014-2-3,2014-3-31,2014-3-11,0.12,0.12,,,,13
ACP,2014-2-3,2014-4-30,2014-4-9,0.12,0.12,,,,13
ACP,2013-12-20,2014-1-14,2013-12-27,0.12,0.12,,,,13
ACP,2013-12-20,2014-1-14,2013-12-27,0.169,0.1,,,S,13
ACP,2013-12-2,2013-12-16,2013-12-10,0.12,0.12,,,,13
ACP,2013-11-1,2013-11-29,2013-11-14,0.12,0.12,,,,13
ACP,2013-8-1,2013-8-30,2013-8-13,0.12,0.12,,,,13
ACP,2013-8-1,2013-9-30,2013-9-13,0.12,0.12,,,,12
ACP,2013-8-1,2013-10-31,2013-10-11,0.12,0.12,,,,12
ACP,2013-5-1,2013-7-31,2013-7-11,0.12,0.12,,,,12
ACP,2013-5-1,2013-6-28,2013-6-13,0.12,0.12,,,,13
ACP,2013-5-1,2013-5-31,2013-5-13,0.12,0.12,,,,12
ACP,2013-2-1,2013-2-28,2013-2-13,0.12,0.12,,,,12
ACP,2013-2-1,2013-3-28,2013-3-13,0.12,0.12,,,,13
ACP,2013-2-1,2013-4-30,2013-4-11,0.12,0.12,,,,12
ACP,2012-12-20,2013-1-14,2012-12-27,0.12,0.12,,,,12
ACP,2012-12-3,2012-12-17,2012-12-11,0.12,0.12,,,,12
ACP,2012-10-1,2012-10-31,2012-10-11,0.12,0.12,,,,12
ACP,2012-10-1,2012-11-30,2012-11-13,0.12,0.12,,,,12
ACP,2012-7-2,2012-7-31,2012-7-12,0.12,0.12,,,,12
ACP,2012-7-2,2012-8-31,2012-8-13,0.12,0.12,,,,12
ACP,2012-7-2,2012-9-28,2012-9-14,0.12,0.12,,,,13
ACP,2012-4-2,2012-5-31,2012-5-11,0.12,0.12,,,,12
ACP,2012-4-2,2012-6-29,2012-6-13,0.12,0.12,,,,12
ACP,2012-4-2,2012-4-30,2012-4-12,0.12,0.12,,,,12
ACP,2011-12-20,2012-1-13,2011-12-28,0.12,0.12,,,,10
ACP,2011-12-20,2012-2-29,2012-2-13,0.12,0.12,,,,11
ACP,2011-12-20,2012-3-30,2012-3-13,0.12,0.12,,,,12
ACP,2011-12-1,2011-12-16,2011-12-8,0.13,0.13,,,,9
ACP,2011-11-1,2011-11-30,2011-11-11,0.13,0.13,,,,8
ACP,2011-10-3,2011-10-31,2011-10-13,0.13,0.13,,,,7
ACP,2011-7-1,2011-8-31,2011-8-11,0.13,0.13,,,,5
ACP,2011-7-1,2011-9-30,2011-9-13,0.13,0.13,,,,6
ACP,2011-7-1,2011-7-29,2011-7-13,0.13,0.13,,,,4
ACP,2011-6-1,2011-6-30,2011-6-13,0.13,0.13,,,,3
ACP,2011-5-2,2011-5-31,2011-5-12,0.13,0.13,,,,2
ACP,2011-3-7,2011-4-29,2011-4-13,0.13,0.13,,,,1
